date,rainfall_mm,temp_c
2018-03-08,1.05,26.4
2018-03-09,1.73,25.86
2018-03-10,0.84,25.72
2018-03-11,1.44,26.48
2018-03-12,4.64,26.61
2018-03-13,4.7,26.52
2018-03-14,1.62,26.84
2018-03-15,1.62,26.27
2018-03-16,6.71,26.2
2018-03-17,1.15,26.06
2018-03-18,0.69,25.65
2018-03-19,0.84,26.03
2018-03-20,1.12,26.04
2018-03-21,1.55,25.1
2018-03-22,1.09,25.59
2018-03-23,0.49,25.07
2018-03-24,0.52,26.4
2018-03-25,0.23,26.12
2018-03-26,0.35,27.6
2018-03-27,0.02,26.48
2018-03-28,0.08,26.71
2018-03-29,0.15,25.84
2018-03-30,0.22,26.23
2018-03-31,0.0,26.84
2018-04-01,0.27,25.72
2018-04-02,0.58,26.05
2018-04-03,0.68,26.66
2018-04-04,1.53,26.86
2018-04-05,2.68,26.45
2018-04-06,3.57,25.5
2018-04-07,1.2,26.25
2018-04-08,2.73,26.01
2018-04-09,5.29,26.11
2018-04-10,1.18,25.43
2018-04-11,0.28,26.45
2018-04-12,1.23,26.6
2018-04-13,0.88,26.6
2018-04-14,3.26,26.1
2018-04-15,1.1,25.72
2018-04-16,5.85,26.05
2018-04-17,4.63,26.48
2018-04-18,7.07,26.06
2018-04-19,8.1,25.79
2018-04-20,5.14,25.81
2018-04-21,0.49,25.19
2018-04-22,0.18,25.5
2018-04-23,0.42,26.13
2018-04-24,1.26,25.91
2018-04-25,4.88,25.49
2018-04-26,1.04,25.61
2018-04-27,1.06,26.15
2018-04-28,0.57,26.2
2018-04-29,0.51,26.11
2018-04-30,1.16,26.27
2018-05-01,6.18,25.96
2018-05-02,11.71,25.97
2018-05-03,1.39,25.96
2018-05-04,0.88,25.91
2018-05-05,0.44,25.68
2018-05-06,2.51,26.26
2018-05-07,1.87,26.0
2018-05-08,1.27,25.3
2018-05-09,1.9,25.7
2018-05-10,4.41,24.9
2018-05-11,7.31,24.55
2018-05-12,7.96,25.18
2018-05-13,3.31,25.05
2018-05-14,4.12,25.38
2018-05-15,2.48,25.59
2018-05-16,8.25,25.44
2018-05-17,7.47,24.63
2018-05-18,5.89,25.31
2018-05-19,1.77,25.74
2018-05-20,4.9,25.54
2018-05-21,3.88,25.24
2018-05-22,3.81,24.87
2018-05-23,0.8,25.67
2018-05-24,1.78,25.65
2018-05-25,4.9,25.28
2018-05-26,2.86,24.88
2018-05-27,1.18,25.09
2018-05-28,1.21,25.51
2018-05-29,1.14,25.42
2018-05-30,1.46,25.17
2018-05-31,1.07,25.98
2018-06-01,1.84,26.14
2018-06-02,6.88,25.6
2018-06-03,2.85,25.44
2018-06-04,1.94,25.27
2018-06-05,7.73,25.4
2018-06-06,23.49,25.33
2018-06-07,15.19,25.72
2018-06-08,33.4,25.15
2018-06-09,38.92,24.51
2018-06-10,33.91,24.22
2018-06-11,3.16,25.03
2018-06-12,3.22,25.11
2018-06-13,7.0,25.57
2018-06-14,6.49,25.24
2018-06-15,1.16,25.01
2018-06-16,1.68,24.47
2018-06-17,1.81,24.96
2018-06-18,8.13,23.97
2018-06-19,1.61,23.76
2018-06-20,7.62,23.13
2018-06-21,23.29,23.15
2018-06-22,2.28,23.96
2018-06-23,12.21,23.4
2018-06-24,37.09,23.41
2018-06-25,0.29,24.87
2018-06-26,5.0,24.7
2018-06-27,3.23,24.75
2018-06-28,17.53,23.9
2018-06-29,28.65,23.79
2018-06-30,8.99,24.25
2018-07-01,6.48,23.2
2018-07-02,6.99,24.13
2018-07-03,10.47,23.63
2018-07-04,9.18,24.51
2018-07-05,16.84,23.81
2018-07-06,9.41,24.02
2018-07-07,3.47,23.6
2018-07-08,1.76,24.53
2018-07-09,1.25,24.42
2018-07-10,0.76,24.72
2018-07-11,1.14,24.81
2018-07-12,3.44,24.41
2018-07-13,3.11,23.93
2018-07-14,2.36,24.58
2018-07-15,19.01,24.53
2018-07-16,52.65,24.45
2018-07-17,33.26,23.65
2018-07-18,20.43,24.01
2018-07-19,32.27,24.55
2018-07-20,34.74,23.89
2018-07-21,8.49,23.67
2018-07-22,0.96,24.17
2018-07-23,0.6,25.2
2018-07-24,5.36,24.63
2018-07-25,8.86,24.19
2018-07-26,5.54,23.64
2018-07-27,3.97,24.07
2018-07-28,4.95,24.03
2018-07-29,10.22,23.69
2018-07-30,4.92,23.32
2018-07-31,3.2,23.54
2018-08-01,6.82,23.63
2018-08-02,11.93,23.55
2018-08-03,6.1,23.56
2018-08-04,0.14,23.66
2018-08-05,1.77,23.26
2018-08-06,1.16,22.62
2018-08-07,1.31,23.74
2018-08-08,0.59,24.3
2018-08-09,9.2,24.38
2018-08-10,3.09,23.92
2018-08-11,3.03,24.27
2018-08-12,4.83,23.97
2018-08-13,8.53,23.43
2018-08-14,1.19,24.27
2018-08-15,1.43,24.48
2018-08-16,2.05,23.8
2018-08-17,10.6,23.45
2018-08-18,5.11,23.98
2018-08-19,8.21,23.85
2018-08-20,20.93,23.31
2018-08-21,20.84,23.23
2018-08-22,27.01,23.3
2018-08-23,18.57,23.54
2018-08-24,46.61,22.95
2018-08-25,15.97,22.93
2018-08-26,2.98,24.44
2018-08-27,1.88,24.39
2018-08-28,2.72,24.11
2018-08-29,8.38,24.15
2018-08-30,30.06,23.56
2018-08-31,16.22,23.61
2018-09-01,5.55,23.67
2018-09-02,7.11,24.09
2018-09-03,18.45,23.71
2018-09-04,6.5,24.55
2018-09-05,3.34,24.43
2018-09-06,41.59,23.82
2018-09-07,63.81,22.98
2018-09-08,8.59,23.97
2018-09-09,32.52,23.72
2018-09-10,13.98,24.07
2018-09-11,9.79,24.22
2018-09-12,2.28,24.19
2018-09-13,12.19,23.98
2018-09-14,5.96,24.2
2018-09-15,4.34,24.55
2018-09-16,5.16,24.95
2018-09-17,3.67,25.31
2018-09-18,5.11,23.97
2018-09-19,5.55,25.07
2018-09-20,31.55,25.75
2018-09-21,5.17,25.5
2018-09-22,10.58,24.48
2018-09-23,19.33,23.7
2018-09-24,3.18,24.73
2018-09-25,36.08,24.63
2018-09-26,10.1,24.57
2018-09-27,5.43,24.97
2018-09-28,8.62,24.08
2018-09-29,5.73,24.26
2018-09-30,7.59,24.67
2018-10-01,11.14,24.18
2018-10-02,6.05,24.49
2018-10-03,2.42,24.64
2018-10-04,4.39,24.19
2018-10-05,5.3,24.33
2018-10-06,3.62,24.21
2018-10-07,2.55,25.41
2018-10-08,14.69,24.95
2018-10-09,8.04,24.57
2018-10-10,10.08,25.4
2018-10-11,3.84,24.87
2018-10-12,15.8,24.36
2018-10-13,5.44,25.23
2018-10-14,3.97,25.16
2018-10-15,5.4,25.4
2018-10-16,7.13,25.03
2018-10-17,10.52,25.35
2018-10-18,2.56,23.78
2018-10-19,0.94,25.48
2018-10-20,0.25,26.22
2018-10-21,0.56,26.39
2018-10-22,2.71,25.63
2018-10-23,4.37,25.36
2018-10-24,3.88,24.62
2018-10-25,4.14,25.12
2018-10-26,3.38,25.31
2018-10-27,3.0,25.35
2018-10-28,11.26,25.67
2018-10-29,28.16,24.76
2018-10-30,12.87,25.83
2018-10-31,9.4,26.08
2018-11-01,11.82,24.91
2018-11-02,1.72,25.27
2018-11-03,5.11,25.25
2018-11-04,3.22,25.8
2018-11-05,1.41,24.76
2018-11-06,0.75,24.73
2018-11-07,3.65,24.71
2018-11-08,1.52,26.09
2018-11-09,3.57,24.81
2018-11-10,2.68,26.1
2018-11-11,0.53,25.91
2018-11-12,0.04,25.59
2018-11-13,0.06,25.77
2018-11-14,0.15,26.25
2018-11-15,0.07,25.04
2018-11-16,0.06,25.45
2018-11-17,3.89,24.84
2018-11-18,4.04,25.07
2018-11-19,0.49,25.33
2018-11-20,1.12,24.28
2018-11-21,0.89,24.64
2018-11-22,0.04,25.83
2018-11-23,0.02,26.0
2018-11-24,0.0,24.84
2018-11-25,0.0,24.25
2018-11-26,0.01,25.26
2018-11-27,0.21,25.22
2018-11-28,0.03,24.85
2018-11-29,0.0,24.63
2018-11-30,0.02,24.8
2018-12-01,0.01,24.82
2018-12-02,0.03,24.06
2018-12-03,0.0,25.07
2018-12-04,0.02,24.95
2018-12-05,0.0,24.45
2018-12-06,0.0,23.01
2018-12-07,0.0,23.51
2018-12-08,0.0,25.16
2018-12-09,0.0,23.54
2018-12-10,0.0,22.9
2018-12-11,0.0,24.29
2018-12-12,0.13,25.02
2018-12-13,0.03,23.58
2018-12-14,0.0,23.53
2018-12-15,0.06,24.98
2018-12-16,0.11,24.98
2018-12-17,0.0,24.95
2018-12-18,0.0,23.56
2018-12-19,0.0,23.57
2018-12-20,0.0,22.83
2018-12-21,0.0,22.24
2018-12-22,0.0,22.53
2018-12-23,0.0,21.8
2018-12-24,0.0,21.68
2018-12-25,0.0,22.04
2018-12-26,0.0,21.94
2018-12-27,0.0,22.25
2018-12-28,0.0,23.58
2018-12-29,0.0,23.83
2018-12-30,0.0,23.57
2018-12-31,0.0,24.1
2019-01-01,0.0,23.37
2019-01-02,0.0,22.75
2019-01-03,0.0,23.54
2019-01-04,0.0,23.47
2019-01-05,0.0,22.74
2019-01-06,0.0,23.11
2019-01-07,0.0,23.41
2019-01-08,0.0,22.14
2019-01-09,0.0,21.67
2019-01-10,0.0,24.08
2019-01-11,0.0,24.5
2019-01-12,0.0,24.06
2019-01-13,0.0,24.4
2019-01-14,0.0,24.96
2019-01-15,0.0,25.91
2019-01-16,0.52,25.62
2019-01-17,0.4,25.3
